Blue,Green,Red,RE1,RE2,RE3,NIR,NIR2,SWIR1,SWIR2,NDVI,BSI,SAVI,MSAVI2,EVI2,NDRE,NDWI,BI,SI1,SI2,NDSI,ClayIndex,AlOH,IronIndex,FerrousIndex,SWIR_ratio,RedEdge_ratio,CarbonateIndex,RI,CI_green,elevation,slope,aspect,hillshade,curvature,plan_curvature,profile_curvature,TWI,label_pH,label_EC,label_OC,label_N,label_P,label_K,label_Fe,label_Cu,label_B,label_Zn,lat,lon,source
0.103682145,0.1203381,0.14060715,0.15260118,0.18646905,0.20543215,0.21062382,0.23110478,0.2560512,0.19837262,0.20160176,0.12423183,0.122595094,0.10566874,0.11237115,0.042913638,-0.28259465,0.16246782,0.13001843,0.09942861,0.12991329,1.3002809,1.3002809,1.1726704,1.4514658,0.8273034,156.60898,1.3002809,1.1041155,0.81767553,9.607906,1.4335545,136.66286,179.66667,-0.28632477,4.638114,0.534742,1.4665452,7.0,0.4,0.43105,140.0,12.707579242075791,55.0,2.25,0.7879600000000001,0.25,0.3,16.00520119999999,80.9378823,real
0.35850456,0.35773376,0.33629158,0.3843789,0.4559672,0.48371986,0.48662567,0.4944016,0.41698313,0.31207335,0.18701883,-0.050586965,0.17103416,0.16655089,0.16446096,0.066294335,-0.16247785,0.39948326,0.34668744,-0.07314416,0.14559315,1.3417763,1.3417763,1.1604002,0.97700036,1.1625569,16.675413,1.3417763,1.1452827,0.400604,10.343179,1.0288945,111.67674,178.72469,-0.6659634,5.067133,0.42936397,2.0052903,7.0,0.4,0.608425,140.0,14.2351,55.0,2.25,0.8,0.25,0.3,16.0181951,80.9407147,real
0.17185967,0.19038628,0.20125322,0.22523145,0.28253067,0.30865324,0.31148067,0.32473066,0.2958645,0.22859274,0.21753506,0.037933674,0.15940233,0.1456462,0.149796,0.054136734,-0.26245442,0.24139361,0.19525382,-0.009411545,0.12507889,1.2926621,1.2926621,1.1356441,1.3148706,1.0342041,79.02269,1.2926621,1.1207864,0.7377753,12.967299,2.4536545,150.00752,180.22151,0.75914204,4.092728,0.9488592,0.7206132,7.375,0.4,0.4,140.0,15.4,55.0,2.25,0.8,0.25,0.3,16.043509200000003,80.8990547,real
0.1289475,0.15808252,0.18183,0.19722,0.2556325,0.28139502,0.281845,0.30216998,0.2918775,0.22069749,0.21772107,0.078194,0.15586782,0.14084923,0.14592505,0.030514136,-0.288462,0.21437165,0.1690639,0.023224311,0.13763094,1.3226862,1.3226862,1.1692513,1.4816395,0.9666864,99.56878,1.3226862,1.0777194,0.83171237,10.079005,1.7377478,123.90166,178.97403,0.3333333,4.4490104,0.7227032,0.5992219,7.0,0.4,0.3611388861113888,140.0,18.23195,55.0,2.25,0.7222300000000001,0.29625,0.32268,15.980513999999998,80.92257160000001,real
0.13647082,0.15497333,0.16767833,0.16888,0.22191916,0.245265,0.255925,0.26153582,0.25140163,0.19850333,0.21047156,0.037920572,0.14314876,0.12719995,0.13291144,0.0031175374,-0.25148585,0.19814862,0.16099745,-0.0055238297,0.11852285,1.2700502,1.2700502,1.1229908,1.2502248,1.019482,68.09343,1.2700502,1.0162462,0.6821155,17.664173,1.7150599,109.49867,178.99892,-1.5220797,4.6822925,0.7081355,2.18553,7.58825,0.4,0.8345709570957095,140.0,19.08885,55.0,2.25,0.8,0.25,1.18236,16.3980154,80.79774740000002,real
0.104801774,0.12134963,0.13763192,0.15622412,0.19588122,0.21621454,0.21547447,0.23244324,0.25050357,0.20488581,0.2220332,0.09797125,0.13662776,0.11851696,0.12575294,0.06591656,-0.27952045,0.1633901,0.12899669,0.07746234,0.10013198,1.2234913,1.2234913,1.1067575,1.3219317,0.86080664,112.343956,1.2234913,1.1477466,0.782991,18.062237,2.0600815,150.24377,179.3945,-1.6065402,4.398267,0.74148303,2.6239445,7.078125,0.4,0.7538746125387461,140.0,17.186881311868813,55.0,2.25,0.8,0.25,1.3124587541245876,16.403025,80.7868581,real
0.18192334,0.19565834,0.20146534,0.22545832,0.28123167,0.30350468,0.29728332,0.318158,0.27513704,0.21505299,0.19877124,0.019363012,0.14267612,0.12934433,0.13327985,0.057017542,-0.22656387,0.2366771,0.19828843,-0.023658486,0.12625043,1.2917794,1.2917794,1.132125,1.1983101,1.0778888,60.74659,1.2917794,1.1344051,0.60495955,19.800354,1.5044128,115.32872,179.7926,0.35132274,4.421151,0.565001,1.3238807,7.056,0.4,0.7425132486751324,140.0,23.39535,55.0,2.25,0.7895700000000001,0.25,0.92688,16.4606571,80.7544469,real
0.11012123,0.1283411,0.14437945,0.16178973,0.20591506,0.2256596,0.22367536,0.24344724,0.2619507,0.21175548,0.21820703,0.100764446,0.13636751,0.118689656,0.12562783,0.05976233,-0.27322122,0.17086233,0.13594298,0.08158287,0.105759166,1.2374288,1.2374288,1.1194148,1.3359294,0.85414016,104.79605,1.2374288,1.1339692,0.7622259,19.84829,1.6658208,152.8435,179.57265,0.6246438,4.318191,0.7001425,0.7608235,7.0,0.4,0.6011875,140.0,17.28595,55.0,2.25,0.8,0.6865000000000001,0.6809999999999999,16.419175500000005,80.7577503,real
0.08750428,0.100891426,0.106071435,0.12117428,0.16489288,0.18482715,0.16507572,0.19438714,0.19064574,0.15003714,0.21233816,0.08291242,0.10916437,0.09219121,0.09939539,0.08554236,-0.21193579,0.12777592,0.103643976,0.08450996,0.14848608,1.3802778,1.3802778,1.2344923,1.1859645,0.8525648,140.09424,1.3802778,1.2064595,0.57452184,16.141447,1.9563407,193.60352,180.40636,-1.2395061,4.352278,0.7832256,2.3284671,7.0,0.4,0.578125,140.0,21.31305,55.0,2.25,0.8,0.25,0.3500399999999999,16.455317,80.796783,real
0.118322216,0.13947779,0.15833335,0.16382776,0.23343332,0.26394445,0.2547111,0.28155553,0.26222777,0.20671111,0.23366578,0.06687597,0.15675585,0.13865653,0.14563788,0.023281066,-0.28602582,0.19146354,0.1483066,0.022928588,0.12792575,1.2957673,1.2957673,1.1503773,1.3548839,0.95849967,87.497284,1.2957673,1.0533859,0.808669,17.31358,2.1251566,169.02995,179.51958,-2.0606701,4.645899,0.7996865,4.0555673,7.0,0.4,0.6875125,140.0,27.500550000000004,55.0,2.25,0.8,0.25,0.6999599999999999,16.4276957,80.8359915,real
0.10548363,0.1192124,0.13005708,0.1423646,0.18431063,0.20379159,0.19861417,0.21995221,0.22573407,0.18568762,0.2093651,0.08263103,0.12296417,0.10539243,0.112516575,0.048183627,-0.252456,0.15359095,0.12455859,0.067522585,0.09690671,1.2164572,1.2164572,1.0980695,1.243181,0.88121897,111.434044,1.2164572,1.1103079,0.6808887,18.651451,2.3855228,180.1851,181.12952,0.5516631,3.999245,0.89915067,0.5629232,7.0,0.4,0.625,140.0,21.12,55.0,2.25,0.8,1.2,0.972,16.438705,80.7647019,real
0.12959376,0.14799532,0.16271406,0.173025,0.23154923,0.25337344,0.25519842,0.27122343,0.25968283,0.20302656,0.22378522,0.047934234,0.1518685,0.13507459,0.14125727,0.033375666,-0.2653979,0.19471663,0.15485609,0.01240681,0.12675944,1.2928364,1.2928364,1.1452467,1.2531352,0.98525316,71.67598,1.2928364,1.0778396,0.730204,16.740154,1.7148864,160.75948,180.52849,-0.39029533,4.2510448,0.67737144,0.899805,7.0,0.4,0.3821125,140.0,19.18758124187581,55.0,2.25,0.7920200000000002,0.363625,0.8863199999999999,16.431988400000005,80.7950679,real
0.10843204,0.12859273,0.1465563,0.16519223,0.20668496,0.22736214,0.22846213,0.24506311,0.2668039,0.2140864,0.22231363,0.104584165,0.14161657,0.12387481,0.13080026,0.06500672,-0.2840015,0.17375661,0.13720083,0.07936933,0.10981834,1.248288,1.248288,1.1259172,1.3764607,0.863149,112.05062,1.248288,1.1488441,0.80298835,16.424816,1.3696301,141.58257,180.29652,0.35576585,4.4848003,0.5537641,1.5080628,7.0,0.62412,0.5861874999999999,140.0,17.6385,55.0,2.25,0.8,0.25,0.69312,16.4193574,80.8290767,real
0.09310696,0.11155126,0.1298019,0.14967342,0.17863101,0.19784304,0.19340697,0.21076646,0.23203355,0.18425444,0.18936126,0.11376032,0.10944473,0.094436966,0.10031182,0.08673707,-0.24648352,0.14958806,0.11971925,0.093188845,0.12774356,1.304786,1.304786,1.171419,1.3909861,0.8616219,170.2421,1.304786,1.206102,0.7082674,17.342888,2.3865917,130.47836,177.83333,0.54954004,4.234888,0.9423999,0.5325508,7.0,0.4,0.5750125,140.0,17.050549999999998,55.0,2.25,0.8,0.5416249999999999,0.5600400000000001,16.403614400000002,80.7294261,real
0.12304419,0.14323421,0.16228904,0.18633129,0.23408902,0.2541029,0.25227743,0.27243063,0.29227197,0.23247229,0.21663673,0.095940724,0.14615847,0.12985738,0.13575204,0.070494585,-0.27492228,0.19199948,0.15247205,0.07319773,0.11351791,1.2576264,1.2576264,1.1333404,1.334365,0.86876065,83.99687,1.2576264,1.1591507,0.7655619,19.39349,1.4096739,164.46715,180.50955,-0.1776362,4.420562,0.6007706,2.4577367,7.0,0.4,0.4375,140.0,19.8,55.0,2.25,0.625,0.25,0.6,16.485022799999992,80.7980865,real
0.10153214,0.1317857,0.1572,0.16001071,0.22377144,0.2499607,0.24725713,0.268075,0.2504607,0.18913214,0.22488204,0.07501739,0.15054415,0.13351473,0.1398932,0.015505679,-0.31040817,0.18541694,0.14360793,0.0049066213,0.13689208,1.3204062,1.3204062,1.1649158,1.6033717,1.001832,123.57759,1.3204062,1.0389946,0.90857077,16.507988,3.0057209,119.29717,175.65283,-1.4188854,4.1254745,1.1473594,2.8024256,7.0,0.4,0.5078125,140.0,18.5625,55.0,2.25,0.8,1.5,0.675,16.471769100000003,80.8262658,real
