State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient,est_N,est_P,est_K,est_OC,est_pH,est_EC,est_S,est_Fe,est_Zn,est_Cu,est_B,est_Mn,latitude,longitude
Aswaraopalem,KRISHNA,AVANIGADDA - 5101,Aswaraopalem,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,6.9,48.28,44.83,0.0,0.0,100.0,12.07,24.14,63.79,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,98.28,1.72,0.0,100.0,0.0,100.0,140.0,12.707579242075793,55.0,0.43105,7.0,0.4,20.0,2.25,0.3,0.7879600000000001,0.25,1.0,16.0052012,80.9378823
Avanigadda,KRISHNA,AVANIGADDA - 5101,Avanigadda,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,14.58,77.08,8.33,0.0,0.0,100.0,31.25,8.33,60.42,6.25,0.0,93.75,100.0,0.0,100.0,0.0,0.0,100.0,2.08,97.92,62.5,37.5,2.08,97.92,0.0,100.0,140.0,17.98954895489549,55.0,0.5156125,7.078125,0.4,20.0,2.25,0.32495999999999997,0.5375,0.276,1.0,16.0193432,80.9150772
Chiruvolu Lanka,KRISHNA,AVANIGADDA - 5101,Chiruvolu Lanka,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,4.17,64.58,31.25,0.0,0.0,100.0,0.0,33.33,66.67,6.25,0.0,93.75,100.0,0.0,100.0,0.0,0.0,100.0,6.25,93.75,75.0,25.0,27.08,72.92,0.0,100.0,140.0,13.750549999999999,55.0,0.37498750000000003,7.078125,0.4,20.0,2.25,0.375,0.625,0.5884999999999999,1.0,,
Edlanka,KRISHNA,AVANIGADDA - 5101,Edlanka,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,0.0,66.67,33.33,0.0,0.0,100.0,11.11,33.33,55.56,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,77.78,22.22,22.22,77.78,0.0,100.0,140.0,12.8337,55.0,0.45831249999999996,7.0,0.4,20.0,2.25,0.3,0.64446,0.5277499999999999,1.0,,
Modumudi,KRISHNA,AVANIGADDA - 5101,Modumudi,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,2.94,72.06,25.0,0.0,0.0,100.0,33.82,27.94,38.24,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,140.0,14.2351,55.0,0.608425,7.0,0.4,20.0,2.25,0.3,0.8,0.25,1.0,16.0181951,80.9407147
Puligadda,KRISHNA,AVANIGADDA - 5101,Puligadda,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,0.0,90.0,10.0,0.0,0.0,100.0,20.0,0.0,80.0,30.0,0.0,70.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,140.0,15.4,55.0,0.4,7.375,0.4,20.0,2.25,0.3,0.8,0.25,1.0,16.0435092,80.8990547
Vekanuru,KRISHNA,AVANIGADDA - 5101,Vekanuru,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,16.67,74.07,9.26,0.0,0.0,100.0,5.56,18.52,75.93,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,1.89,98.11,88.89,11.11,3.7,96.3,3.7,96.3,140.0,18.231949999999998,55.0,0.36113888611138883,7.0,0.4,20.0,2.25,0.32268,0.7222300000000001,0.29625,1.2590000000000001,15.980514,80.9225716
Chalivendrapalem,KRISHNA,KANKIPADU - 5119,Chalivendrapalem,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,17.65,79.41,2.94,0.0,0.0,100.0,61.76,32.35,5.88,47.06,0.0,52.94,100.0,0.0,100.0,0.0,0.0,100.0,73.53,26.47,100.0,0.0,0.0,100.0,0.0,100.0,140.0,19.088849999999997,55.0,0.8345709570957095,7.58825,0.4,20.0,2.25,1.18236,0.8,0.25,1.0,16.3980154,80.7977474
Davuluru,KRISHNA,KANKIPADU - 5119,Davuluru,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,6.25,90.63,3.13,0.0,0.0,100.0,56.25,21.88,21.88,6.25,0.0,93.75,100.0,0.0,100.0,0.0,0.0,100.0,84.38,15.63,100.0,0.0,0.0,100.0,21.88,78.13,140.0,17.186881311868813,55.0,0.7538746125387461,7.078125,0.4,20.0,2.25,1.3124587541245876,0.8,0.25,2.5314468553144684,16.403025,80.7868581
Edupugallu,KRISHNA,KANKIPADU - 5119,Edupugallu,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,41.79,58.21,0.0,0.0,0.0,100.0,46.27,38.81,14.93,4.48,0.0,95.52,100.0,0.0,100.0,0.0,0.0,100.0,52.24,47.76,98.51,1.49,0.0,100.0,43.28,56.72,140.0,23.395349999999997,55.0,0.7425132486751324,7.056,0.4,20.0,2.25,0.92688,0.7895700000000001,0.25,4.0296,16.4606571,80.7544469
Godavarru,KRISHNA,KANKIPADU - 5119,Godavarru,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,11.11,79.37,9.52,0.0,0.0,100.0,22.22,49.21,28.57,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,31.75,68.25,100.0,0.0,34.92,65.08,41.27,58.73,140.0,17.28595,55.0,0.6011875,7.0,0.4,20.0,2.25,0.6809999999999999,0.8,0.6865000000000001,3.8889000000000005,16.4191755,80.7577503
Jagannadhapuram,KRISHNA,KANKIPADU - 5119,Jagannadhapuram,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,29.17,70.83,0.0,0.0,0.0,100.0,12.5,62.5,25.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,4.17,95.83,100.0,0.0,0.0,100.0,58.33,41.67,140.0,21.313049999999997,55.0,0.578125,7.0,0.4,20.0,2.25,0.35003999999999996,0.8,0.25,5.0831,16.455317,80.796783
Kandalampadu,KRISHNA,KANKIPADU - 5119,Kandalampadu,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,66.67,33.33,0.0,0.0,0.0,100.0,50.0,16.67,33.33,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,33.33,66.67,100.0,0.0,0.0,100.0,0.0,100.0,140.0,27.500550000000004,55.0,0.6875125,7.0,0.4,20.0,2.25,0.6999599999999999,0.8,0.25,1.0,16.4276957,80.8359915
Kankipadu (CT),KRISHNA,KANKIPADU - 5119,Kankipadu (CT),Soil Health Card RKVY,2025-26,0.0,0.0,100.0,28.0,72.0,0.0,0.0,0.0,100.0,20.0,60.0,20.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,56.0,44.0,100.0,0.0,76.0,24.0,88.0,12.0,140.0,21.12,55.0,0.625,7.0,0.4,20.0,2.25,0.972,0.8,1.2,7.16,16.438705,80.7647019
Kolavennu,KRISHNA,KANKIPADU - 5119,Kolavennu,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,17.05,81.82,1.14,0.0,0.0,100.0,1.14,32.95,65.91,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,48.86,51.14,98.86,1.14,9.09,90.91,47.73,52.27,140.0,19.18758124187581,55.0,0.3821125,7.0,0.4,20.0,2.25,0.8863199999999999,0.7920200000000002,0.363625,4.3411,16.4319884,80.7950679
Konathanapadu,KRISHNA,KANKIPADU - 5119,Konathanapadu,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,50.0,50.0,0.0,0.0,0.0,100.0,12.5,31.25,56.25,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,12.5,87.5,100.0,0.0,93.75,6.25,6.25,93.75,140.0,24.75,55.0,0.4609375,7.0,0.4,20.0,2.25,0.45,0.8,1.421875,1.4375,,
Kunderu,KRISHNA,KANKIPADU - 5119,Kunderu,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,6.9,93.1,0.0,0.0,0.0,100.0,22.41,44.83,32.76,0.0,0.0,100.0,91.38,8.62,100.0,0.0,0.0,100.0,32.76,67.24,100.0,0.0,0.0,100.0,3.45,96.55,140.0,17.6385,55.0,0.5861874999999999,7.0,0.62412,20.0,2.25,0.69312,0.8,0.25,1.2415,16.4193574,80.8290767
Madduru,KRISHNA,KANKIPADU - 5119,Madduru,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,6.67,88.33,5.0,0.0,0.0,100.0,15.0,56.67,28.33,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,21.67,78.33,100.0,0.0,23.33,76.67,13.33,86.67,140.0,17.050549999999998,55.0,0.5750125,7.0,0.4,20.0,2.25,0.5600400000000001,0.8,0.5416249999999999,1.9331,16.4036144,80.7294261
Manthena,KRISHNA,KANKIPADU - 5119,Manthena,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,20.0,80.0,0.0,0.0,0.0,100.0,10.0,30.0,60.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,25.0,75.0,75.0,25.0,0.0,100.0,57.5,42.5,140.0,19.8,55.0,0.4375,7.0,0.4,20.0,2.25,0.6,0.625,0.25,5.025,16.4850228,80.7980865
Maredumaka,KRISHNA,KANKIPADU - 5119,Maredumaka,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,12.5,87.5,0.0,0.0,0.0,100.0,0.0,68.75,31.25,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,31.25,68.75,100.0,0.0,100.0,0.0,50.0,50.0,140.0,18.5625,55.0,0.5078125,7.0,0.4,20.0,2.25,0.675,0.8,1.5,4.5,16.4717691,80.8262658
Neppalle,KRISHNA,KANKIPADU - 5119,Neppalle,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,29.69,70.31,0.0,0.0,0.0,100.0,7.81,54.69,37.5,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,31.25,68.75,100.0,0.0,9.38,90.63,1.56,98.44,140.0,21.398850000000003,55.0,0.5136625,7.0,0.4,20.0,2.25,0.675,0.8,0.3672382761723828,1.1092,16.40992,80.8069753
Prodduturu,KRISHNA,KANKIPADU - 5119,Prodduturu,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,47.37,52.63,0.0,0.0,0.0,100.0,2.63,15.79,81.58,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,13.16,86.84,97.37,2.63,7.89,92.11,68.42,31.58,140.0,24.31605,55.0,0.3289375,7.0,0.4,20.0,2.25,0.45792,0.7815900000000002,0.34862499999999996,5.7894000000000005,16.4064962,80.7744872
Punadipadu,KRISHNA,KANKIPADU - 5119,Punadipadu,Soil Health Card RKVY,2025-26,0.0,0.0,100.0,23.81,66.67,9.52,0.0,0.0,100.0,3.17,12.7,84.13,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,23.81,76.19,100.0,0.0,14.29,85.71,53.97,46.03,140.0,19.381449999999997,55.0,0.3214,7.0,0.4,20.0,2.25,0.5857199999999999,0.8,0.428625,4.7779,,
