Blue,Green,Red,RE1,RE2,RE3,NIR,NIR2,SWIR1,SWIR2,NDVI,BSI,SAVI,MSAVI2,EVI2,NDRE,NDWI,BI,SI1,SI2,NDSI,ClayIndex,AlOH,IronIndex,FerrousIndex,SWIR_ratio,RedEdge_ratio,CarbonateIndex,RI,CI_green,elevation,slope,aspect,hillshade,curvature,plan_curvature,profile_curvature,TWI,label_pH,label_EC,label_OC,label_N,label_P,label_K,label_Fe,label_Cu,label_B,label_Zn,lat,lon
0.103682145,0.1203381,0.14060715,0.15260118,0.18646905,0.20543215,0.21062382,0.23110478,0.2560512,0.19837262,0.20160176,0.12423183,0.122595094,0.10566874,0.11237115,0.042913638,-0.28259465,0.16246782,0.13001843,0.09942861,0.12991329,1.3002809,1.3002809,1.1726704,1.4514658,0.8273034,156.60898,1.3002809,1.1041155,0.81767553,9.607906,1.4335545,136.66286,179.66667,-0.28632477,4.638114,0.534742,1.4665452,7.0,0.4,0.43105,140.0,12.707579242075793,55.0,2.25,0.7879600000000001,0.25,0.3,16.00520119999999,80.9378823
0.116004996,0.13513556,0.14746666,0.15927167,0.20047334,0.2206439,0.22125778,0.23775333,0.24859388,0.20205277,0.2024922,0.08423111,0.12744853,0.110764325,0.11724718,0.04077338,-0.24331228,0.17260271,0.1410995,0.058943205,0.10619375,1.2403287,1.2403287,1.1122394,1.2954808,0.9002816,93.48902,1.2403287,1.0958401,0.6545746,12.453435,1.6587356,161.51048,180.863,-0.17367858,4.3165026,0.66039395,1.4568235,7.078125,0.4,0.5156125,140.0,17.98954895489549,55.0,2.25,0.5375,0.276,0.32495999999999997,16.019343199999998,80.9150772
0.35850456,0.35773376,0.33629158,0.3843789,0.4559672,0.48371986,0.48662567,0.4944016,0.41698313,0.31207335,0.18701883,-0.050586965,0.17103416,0.16655089,0.16446096,0.066294335,-0.16247785,0.39948326,0.34668744,-0.07314416,0.14559315,1.3417763,1.3417763,1.1604002,0.97700036,1.1625569,16.675413,1.3417763,1.1452827,0.400604,10.343179,1.0288945,111.67674,178.72469,-0.6659634,5.067133,0.42936397,2.0052903,7.0,0.4,0.608425,140.0,14.2351,55.0,2.25,0.8,0.25,0.3,16.0181951,80.9407147
0.17185967,0.19038628,0.20125322,0.22523145,0.28253067,0.30865324,0.31148067,0.32473066,0.2958645,0.22859274,0.21753506,0.037933674,0.15940233,0.1456462,0.149796,0.054136734,-0.26245442,0.24139361,0.19525382,-0.009411545,0.12507889,1.2926621,1.2926621,1.1356441,1.3148706,1.0342041,79.02269,1.2926621,1.1207864,0.7377753,12.967299,2.4536545,150.00752,180.22151,0.75914204,4.092728,0.9488592,0.7206132,7.375,0.4,0.4,140.0,15.4,55.0,2.25,0.8,0.25,0.3,16.043509200000003,80.8990547
0.1289475,0.15808252,0.18183,0.19722,0.2556325,0.28139502,0.281845,0.30216998,0.2918775,0.22069749,0.21772107,0.078194,0.15586782,0.14084923,0.14592505,0.030514136,-0.288462,0.21437165,0.1690639,0.023224311,0.13763094,1.3226862,1.3226862,1.1692513,1.4816395,0.9666864,99.56878,1.3226862,1.0777194,0.83171237,10.079005,1.7377478,123.90166,178.97403,0.3333333,4.4490104,0.7227032,0.5992219,7.0,0.4,0.36113888611138883,140.0,18.231949999999998,55.0,2.25,0.7222300000000001,0.29625,0.32268,15.980513999999998,80.92257160000001
0.13647082,0.15497333,0.16767833,0.16888,0.22191916,0.245265,0.255925,0.26153582,0.25140163,0.19850333,0.21047156,0.037920572,0.14314876,0.12719995,0.13291144,0.0031175374,-0.25148585,0.19814862,0.16099745,-0.0055238297,0.11852285,1.2700502,1.2700502,1.1229908,1.2502248,1.019482,68.09343,1.2700502,1.0162462,0.6821155,17.664173,1.7150599,109.49867,178.99892,-1.5220797,4.6822925,0.7081355,2.18553,7.58825,0.4,0.8345709570957095,140.0,19.088849999999997,55.0,2.25,0.8,0.25,1.18236,16.3980154,80.79774740000002
0.104801774,0.12134963,0.13763192,0.15622412,0.19588122,0.21621454,0.21547447,0.23244324,0.25050357,0.20488581,0.2220332,0.09797125,0.13662776,0.11851696,0.12575294,0.06591656,-0.27952045,0.1633901,0.12899669,0.07746234,0.10013198,1.2234913,1.2234913,1.1067575,1.3219317,0.86080664,112.343956,1.2234913,1.1477466,0.782991,18.062237,2.0600815,150.24377,179.3945,-1.6065402,4.398267,0.74148303,2.6239445,7.078125,0.4,0.7538746125387461,140.0,17.186881311868813,55.0,2.25,0.8,0.25,1.3124587541245876,16.403025,80.7868581
0.18192334,0.19565834,0.20146534,0.22545832,0.28123167,0.30350468,0.29728332,0.318158,0.27513704,0.21505299,0.19877124,0.019363012,0.14267612,0.12934433,0.13327985,0.057017542,-0.22656387,0.2366771,0.19828843,-0.023658486,0.12625043,1.2917794,1.2917794,1.132125,1.1983101,1.0778888,60.74659,1.2917794,1.1344051,0.60495955,19.800354,1.5044128,115.32872,179.7926,0.35132274,4.421151,0.565001,1.3238807,7.056,0.4,0.7425132486751324,140.0,23.395349999999997,55.0,2.25,0.7895700000000001,0.25,0.92688,16.4606571,80.7544469
0.11012123,0.1283411,0.14437945,0.16178973,0.20591506,0.2256596,0.22367536,0.24344724,0.2619507,0.21175548,0.21820703,0.100764446,0.13636751,0.118689656,0.12562783,0.05976233,-0.27322122,0.17086233,0.13594298,0.08158287,0.105759166,1.2374288,1.2374288,1.1194148,1.3359294,0.85414016,104.79605,1.2374288,1.1339692,0.7622259,19.84829,1.6658208,152.8435,179.57265,0.6246438,4.318191,0.7001425,0.7608235,7.0,0.4,0.6011875,140.0,17.28595,55.0,2.25,0.8,0.6865000000000001,0.6809999999999999,16.419175500000005,80.7577503
0.08750428,0.100891426,0.106071435,0.12117428,0.16489288,0.18482715,0.16507572,0.19438714,0.19064574,0.15003714,0.21233816,0.08291242,0.10916437,0.09219121,0.09939539,0.08554236,-0.21193579,0.12777592,0.103643976,0.08450996,0.14848608,1.3802778,1.3802778,1.2344923,1.1859645,0.8525648,140.09424,1.3802778,1.2064595,0.57452184,16.141447,1.9563407,193.60352,180.40636,-1.2395061,4.352278,0.7832256,2.3284671,7.0,0.4,0.578125,140.0,21.313049999999997,55.0,2.25,0.8,0.25,0.35003999999999996,16.455317,80.796783
