Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Village,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Annavaram,KRISHNA,MOPIDEVI - 5124,Annavaram,Soil Health Card RKVY,2025-26,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,26.67,73.33
Ayodhya,KRISHNA,MOPIDEVI - 5124,Ayodhya,Soil Health Card RKVY,2025-26,0,0,100,0,0,100,0,0,100,100,0,0,0,0,100,100,0,100,0,0,100,0,100,100,0,100,0,0,100
Chiruvolu,KRISHNA,MOPIDEVI - 5124,Chiruvolu,Soil Health Card RKVY,2025-26,0,10,90,0,10,90,0,0,100,0,20,80,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,60,40
Kokkiligadda,KRISHNA,MOPIDEVI - 5124,Kokkiligadda,Soil Health Card RKVY,2025-26,0,2.33,97.67,0,12.79,87.21,0,0,100,24.42,31.4,44.19,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,0,100
Mellamarthi Lanka,KRISHNA,MOPIDEVI - 5124,Mellamarthi Lanka,Soil Health Card RKVY,2025-26,0,0,100,0,36.21,63.79,0,0,100,18.97,46.55,34.48,0,0,100,100,0,98.28,1.72,0,100,5.26,94.74,96.55,3.45,0,100,3.45,96.55
Merakanapalle,KRISHNA,MOPIDEVI - 5124,Merakanapalle,Soil Health Card RKVY,2025-26,0,0,100,0,8.33,91.67,0,0,100,0,16.67,83.33,0,0,100,100,0,100,0,0,100,8.33,91.67,100,0,0,100,100,0
Mopidevi,KRISHNA,MOPIDEVI - 5124,Mopidevi,Soil Health Card RKVY,2025-26,0,2.6,97.4,0,14.29,85.71,0,0,100,7.79,46.75,45.45,0,0,100,100,0,100,0,2.6,97.4,0,100,100,0,15.58,84.42,81.82,18.18
Nagayatippa,KRISHNA,MOPIDEVI - 5124,Nagayatippa,Soil Health Card RKVY,2025-26,0,0,100,0,23.53,76.47,0,0,100,23.53,35.29,41.18,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,17.65,82.35
North Chiruvolulanka,KRISHNA,MOPIDEVI - 5124,North Chiruvolulanka,Soil Health Card RKVY,2025-26,0,0,100,0,38.46,61.54,0,0,100,17.95,48.72,33.33,0,0,100,100,0,100,0,0,100,5.13,94.87,94.87,5.13,0,100,5.13,94.87
Pedakallepalle,KRISHNA,MOPIDEVI - 5124,Pedakallepalle,Soil Health Card RKVY,2025-26,0,0.71,99.29,0,21.99,78.01,0,0,100,28.37,20.57,51.06,0,0,100,100,0,100,0,0,100,9.29,90.71,100,0,2.13,97.87,12.06,87.94
Pedaprolu,KRISHNA,MOPIDEVI - 5124,Pedaprolu,Soil Health Card RKVY,2025-26,0,1.92,98.08,0,16.35,83.65,0,0,100,19.23,11.54,69.23,0,0,100,100,0,100,0,0,100,0,100,100,0,11.54,88.46,35.58,64.42
Tekupalle,KRISHNA,MOPIDEVI - 5124,Tekupalle,Soil Health Card RKVY,2025-26,0,0,100,0,20,80,0,0,100,0,0,100,0,0,100,100,0,100,0,0,100,30,70,100,0,0,100,60,40
Venkatapuram,KRISHNA,MOPIDEVI - 5124,Venkatapuram,Soil Health Card RKVY,2025-26,0,0,100,0,19.05,80.95,0,0,100,14.29,23.81,61.9,0,0,100,100,0,100,0,0,100,0,100,100,0,0,100,47.62,52.38
