Cycle: 2025-26  •  Scheme: Soil Health Card RKVY

State,District,Block,Scheme,Cycle,N_High,N_Medium,N_Low,P_High,P_Medium,P_Low,K_High,K_Medium,K_Low,OC_High,OC_Medium,OC_Low,P H_Alkaline,P H_Acidic,P H_Neutral,EC_Non Saline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
AVANIGADDA,KRISHNA,AVANIGADDA,Soil Health Card RKVY,2025-26,0,0,295,24,200,71,0,0,295,51,66,178,9,0,286,295,0,295,0,0,295,5,288,256,39,18,277,2,293
BANTUMILLI,KRISHNA,BANTUMILLI,Soil Health Card RKVY,2025-26,0,9,627,20,414,202,0,0,636,199,236,201,2,0,634,626,10,606,30,185,358,452,121,628,7,173,463,502,37
BAPULAPADU,KRISHNA,BAPULAPADU,Soil Health Card RKVY,2025-26,0,0,1064,22,674,366,0,0,1064,261,425,378,1,0,1063,1062,2,1062,2,33,1031,233,831,1024,40,108,956,170,894
CHALLAPALLI,KRISHNA,CHALLAPALLI,Soil Health Card RKVY,2025-26,0,0,660,9,507,145,0,510,151,107,358,196,59,0,602,661,0,630,31,0,661,152,509,655,6,142,519,150,511
GANNAVARAM,KRISHNA,GANNAVARAM,Soil Health Card RKVY,2025-26,0,0,904,28,773,103,0,0,904,228,352,324,1,0,903,863,41,902,2,29,875,132,772,900,4,79,825,651,253
GHANTASALA,KRISHNA,GHANTASALA,Soil Health Card RKVY,2025-26,0,0,987,108,820,59,2,0,985,698,253,36,13,0,974,987,0,985,2,0,987,0,973,930,57,576,411,81,906
GUDIVADA,KRISHNA,GUDIVADA,Soil Health Card RKVY,2025-26,0,407,408,700,112,3,801,9,5,445,353,17,0,0,814,802,13,815,0,408,407,13,802,815,0,277,538,811,4
GUDLAVALLERU,KRISHNA,GUDLAVALLERU,Soil Health Card RKVY,2025-26,45,360,774,509,630,40,0,46,1133,51,374,754,0,0,1179,1086,93,1179,0,612,567,442,737,1175,4,447,732,803,376
GUDURU,KRISHNA,GUDURU,Soil Health Card RKVY,2025-26,0,9,890,87,743,69,0,0,899,274,404,221,0,0,899,897,2,866,33,71,825,360,531,880,19,137,762,298,601
KANKIPADU,KRISHNA,KANKIPADU,Soil Health Card RKVY,2025-26,0,0,860,193,640,27,0,0,860,158,351,351,21,0,839,855,5,860,0,0,860,314,546,846,14,126,734,290,570
KODURU,KRISHNA,KODURU,Soil Health Card RKVY,2025-26,0,0,708,28,457,223,0,0,708,70,463,175,0,0,708,703,5,706,2,97,611,144,563,701,7,219,489,244,463
KRUTTIVENNU,KRISHNA,KRUTTIVENNU,Soil Health Card RKVY,2025-26,0,7,189,17,168,11,0,0,196,85,48,63,0,0,196,182,14,162,34,75,121,7,189,191,5,15,181,153,43
MACHILIPATNAM,KRISHNA,MACHILIPATNAM,Soil Health Card RKVY,2025-26,0,0,913,18,249,646,0,0,913,299,393,221,97,0,816,862,51,887,26,210,703,44,865,699,211,163,750,503,399
MOPIDEVI,KRISHNA,MOPIDEVI,Soil Health Card RKVY,2025-26,0,8,584,0,118,474,0,0,592,114,165,313,0,0,592,592,0,591,1,2,590,22,568,588,4,29,563,162,430
MOVVA,KRISHNA,MOVVA,Soil Health Card RKVY,2025-26,0,22,1372,103,1160,131,0,0,1394,219,836,339,0,0,1394,1392,2,1347,47,85,1306,259,1122,1368,26,153,1241,469,925
NAGAYALANKA,KRISHNA,NAGAYALANKA,Soil Health Card RKVY,2025-26,0,0,928,5,704,219,0,0,928,317,435,176,3,0,925,928,0,917,11,0,928,259,669,928,0,468,460,143,785
NANDIVADA,KRISHNA,NANDIVADA,Soil Health Card RKVY,2025-26,0,0,229,7,70,152,0,0,229,112,101,16,0,0,229,229,0,229,0,0,229,0,214,229,0,125,104,81,148
PAMARRU,KRISHNA,PAMARRU,Soil Health Card RKVY,2025-26,0,918,233,1077,71,3,622,436,93,87,927,137,20,0,1131,883,268,1150,1,568,583,50,1101,1151,0,208,943,1119,32
PAMIDIMUKKALA,KRISHNA,PAMIDIMUKKALA,Soil Health Card RKVY,2025-26,0,0,1099,2,1017,90,0,0,1109,331,427,351,0,0,1109,1109,0,1102,7,3,1106,249,860,1095,14,31,1078,325,784
PEDANA,KRISHNA,PEDANA,Soil Health Card RKVY,2025-26,0,0,1054,120,841,93,0,0,1054,226,521,307,0,1,1053,1051,3,1022,32,75,979,367,680,1047,7,150,904,321,733
PEDAPARUPUDI,KRISHNA,PEDAPARUPUDI,Soil Health Card RKVY,2025-26,0,26,913,827,112,0,895,42,2,612,119,208,14,0,925,939,0,939,0,331,608,3,936,924,15,599,340,687,252
PENAMALURU,KRISHNA,PENAMALURU,Soil Health Card RKVY,2025-26,0,0,316,76,235,8,0,0,319,143,82,93,0,0,319,319,0,318,1,6,313,43,276,311,8,20,299,128,191
THOTLAVALLURU,KRISHNA,THOTLAVALLURU,Soil Health Card RKVY,2025-26,0,24,509,455,70,8,491,38,4,145,177,211,13,0,520,530,3,533,0,377,156,318,215,531,2,149,384,440,93
UNGUTURU,KRISHNA,UNGUTURU,Soil Health Card RKVY,2025-26,0,0,1413,10,1258,145,0,0,1413,164,972,277,0,0,1413,1412,1,1396,17,0,1413,361,1052,1358,55,626,787,195,1218
VUYYURU,KRISHNA,VUYYURU,Soil Health Card RKVY,2025-26,0,0,694,0,405,289,0,0,694,128,285,281,0,0,694,694,0,684,10,0,694,90,597,677,17,49,645,39,654
